id,title,epic,owner,status,priority,dependencies,acceptance_criteria,test_cases,risk_tag
D2-001,Geometry hardening stage for 4-state buildings,DataPipeline,A12,done,P0,,Pipeline includes explicit make-valid/normalize path and records invalid/skipped geometry metrics,run-pipeline-4state-full; topology-error-replay,data_quality
D2-002,Complete non-dry 4-state asset generation,DataPipeline,A12,done,P0,D2-001,"dem_target.tif, building_height.tif, surface_dsm.tif, and tile_manifest.json produced successfully",run-pipeline-4state-full; output-artifact-check,throughput
A2-001,Create wallpaper host executable entrypoint,AppHost,A13,done,P0,,New app target with wWinMain boots and enters Win32 message loop cleanly,windows-build; process-lifetime-smoke,integration
A2-002,Runtime graph bootstrap and deterministic init/shutdown ordering,AppHost,A13,done,P0,A2-001,"DesktopHost, monitor, render, ingest, ipc, input, and runtime managers initialize/teardown with clear ownership",startup-shutdown-loop; failure-injection-init,lifecycle
H2-001,Integrate DefView host attach into app runtime,DesktopHostIntegration,A14,todo,P0,A2-002,Wallpaper host attaches reliably in 25H2 with DefView strategy and survives explorer restart,explorer-restart-loop; host-reattach-assertions,shell_variance
H2-002,Icon ownership-safe hide/restore policy in integrated runtime,DesktopHostIntegration,A14,todo,P1,H2-001,Icons hide only under app ownership and restore on graceful exit/recovery without clobbering pre-hidden state,icon-prehidden-case; crash-recovery-state-ownership,user_state
R2-001,Scene renderer wiring to processed terrain/building assets,RenderIntegration,A15,todo,P0,A2-002|D2-002,Renderer loads manifest-driven assets and draws first stable 3D frame,first-frame-smoke; asset-load-failure-fallback,asset_pipeline
R2-002,Dirty-present event-driven frame scheduling in integrated host,RenderIntegration,A15,done,P0,R2-001,No continuous render loop at idle; presents triggered by camera/input/overlay/data invalidation,idle-present-rate; active-interaction-present-check,power
C2-001,Integrate input router into live camera controls,ControlIntegration,A16,done,P0,A2-002|R2-001,Mouse/keyboard interactions drive orbit/free-fly/cursor-anchored dolly in host runtime,camera-input-smoke; focus-capture-loss,ux
C2-002,Integrate pipe server command path into runtime controls,ControlIntegration,A16,done,P0,A2-002|C2-001,IPC commands (zoom/rotate/style/span/mirror) apply in runtime with deterministic ACK/ERROR,pipe-command-smoke; malformed-command-ackerror,control_plane
C2-003,User-vs-IPC arbitration in integrated runtime,ControlIntegration,A16,done,P0,C2-002,Lease/defer policy prevents camera jitter and ensures deterministic command precedence,user-drag-vs-ipc-flood; emergency-stop-precedence,contention
O2-001,Wire snapshot ingest -> overlay store -> dirty regions,OverlayIntegration,A17,done,P0,A2-002|R2-001,Snapshot updates affect on-screen overlays via event store and invalidation pipeline,snapshot-to-overlay-smoke; no-snapshot-fallback,integration
O2-002,Enforce <=10Hz overlay throttle in integrated runtime,OverlayIntegration,A17,done,P0,O2-001|R2-002,Burst overlay input throttles presents while preserving latest state,20hz-burst; 50hz-burst-throttle-ratio,rate_control
M2-001,Multi-monitor projection and scale-preservation in integrated host,MonitorIntegration,A18,todo,P1,R2-001|H2-001,Highest-res monitor anchors density while preserving map scale in span/mirror modes,mixed-resolution-span; mirror-mode-validation,multimon
X2-001,Integrated session/power transition handling,ResilienceIntegration,A19,done,P1,A2-002|H2-001|R2-002,Lock/unlock/logoff/logon/suspend/resume transitions recover and preserve state,session-matrix; sleep-resume-loop,lifecycle
X2-002,Device-loss and monitor churn recovery in integrated runtime,ResilienceIntegration,A19,done,P1,R2-002|M2-001,Runtime recovers from DXGI device-loss and monitor topology changes without restart,device-removed-injection; monitor-hotplug-rotation-loop,stability
V2-001,Desktop demo runbook and operator script,DemoValidation,A20,done,P0,R2-001|C2-001|O2-001,Runbook and script launch a watchable on-desktop 3D demo with control and overlay checklist,operator-walkthrough; scripted-demo-smoke,usability
V2-002,Perf sanity gate for integrated host demo,DemoValidation,A20,done,P0,R2-002|O2-002|X2-001,Idle and active sanity thresholds captured with ETW/WPR and reported in demo evidence bundle,10min-idle; active-camera-motion-trace,power
G6-001,First Watchable Desktop Demo Gate,Program,A0,done,P0,V2-001|V2-002|C2-003|O2-002|X2-002,Integrated Win32 host runs on desktop with 3D map + controls + overlays + resilience sanity evidence,gate-review; demo-checklist-signoff,program
